Treatment,Number_CDR3,Habs,H
On,31,4.057316135,0.818965556
On,2,1,1
On,19,3.389056419,0.797814089
On,6,1.624381458,0.628396527
On,10,2.003545344,0.603127246
On,3,1.584962501,1
On,1,0,0
On,16,3.74832866,0.937082165
On,1,0,0
On,14,2.408099063,0.632486099
On,27,3.046984486,0.640811057
On,15,3.169507047,0.811260763
On,40,3.509280857,0.659400276
On,6,1.898093374,0.73428275
On,36,3.582711361,0.692990974
On,21,4.110577243,0.935856143
On,37,4.670958593,0.896631233
On,3,1.043435696,0.658334627
On,1,0,0
On,8,2.692380602,0.897460201
On,1,0,0
On,2,0.918295834,0.918295834
On,4,1.75,0.875
On,7,2.725480557,0.970835763
On,5,1.761278606,0.758541408
On,21,2.855098521,0.65002099
On,3,0.986426729,0.622365973
On,6,1.479017443,0.57216205
On,2,0.811278124,0.811278124
On,20,2.587475533,0.598685465
On,1,0,0
On,10,3.093069208,0.93110661
On,16,3.553055907,0.888263977
On,17,3.376863929,0.826151591
On,21,4.016381962,0.91441068
On,4,1.321606958,0.660803479
On,6,2.413088436,0.933510036
On,11,3.219528282,0.930652384
On,14,2.228620301,0.585346086
On,4,2,1
On,1,0,0
On,2,1,1
On,1,0,0
On,3,1.5,0.94639463
On,20,3.474769047,0.803985853
On,27,3.497085026,0.735471664
On,5,2.128085279,0.916516443
On,16,3.142823547,0.785705887
On,13,3.46346519,0.935960441
On,3,1.584962501,1
On,1,0,0
On,3,1.5,0.94639463
On,2,1,1
On,1,0,0
On,1,0,0
On,1,0,0
On,8,2.636056086,0.878685362
On,7,0.883300909,0.314638132
On,30,4.649888608,0.947624268
On,4,2,1
On,24,4.127421207,0.90020828
On,29,4.452368168,0.916505884
On,15,2.765615692,0.70788153
On,1,0,0
On,1,0,0
On,2,1,1
On,3,1.584962501,1
On,1,0,0
On,2,1,1
On,1,0,0
On,2,0.918295834,0.918295834
On,3,0.640206433,0.403925287
On,4,1.921928095,0.960964047
On,8,2.653544297,0.884514766
On,5,1.823026491,0.785134774
On,19,3.630792533,0.854720925
On,1,0,0
On,20,3.588600801,0.830324041
On,9,3.095795255,0.976614669
On,2,0.543564443,0.543564443
On,4,0.914182838,0.457091419
On,16,3.123817032,0.780954258
On,21,3.934660906,0.895805227
On,12,3.265583323,0.910911431
On,3,1.584962501,1
On,7,2.725480557,0.970835763
On,2,0.811278124,0.811278124
On,5,2.251629167,0.9697239
On,11,3.324862958,0.961100933
On,2,0.721928095,0.721928095
On,16,3.576848718,0.89421218
On,14,3.212260827,0.843698813
On,2,0.811278124,0.811278124
On,16,3.273899546,0.818474886
On,1,0,0
On,29,1.754322793,0.36112179
On,23,4.207435517,0.930115594
On,8,2.617492461,0.872497487
On,3,1.5,0.94639463
On,6,2.160704753,0.835874699
On,2,0.811278124,0.811278124
On,3,1.224394445,0.772506886
On,6,2.419381946,0.935944697
On,3,1.5,0.94639463
On,6,2.405639062,0.930628224
On,3,1.584962501,1
On,14,3.517894148,0.923973262
On,1,0,0
On,5,2.321928095,1
On,2,0.918295834,0.918295834
On,6,2.405639062,0.930628224
On,4,1.784159128,0.892079564
On,8,2.751629167,0.917209722
On,3,1.584962501,1
On,4,1.752715279,0.876357639
On,4,1.918295834,0.959147917
On,2,0.970950594,0.970950594
On,21,3.932817817,0.895385611
On,7,2.584962501,0.920782221
On,8,2.732158891,0.91071963
On,9,2.5,0.788662192
On,14,3.408280023,0.895183163
On,3,1.5,0.94639463
On,1,0,0
On,1,0,0
On,2,0.439496987,0.439496987
On,2,1,1
